DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2016;1;1;1;0;0;158
31.12.2016;1;1;2;0;0;158
31.12.2016;1;1;3;0;0;158
31.12.2016;1;1;4;0;0;158
31.12.2016;1;1;5;0;0;158
31.12.2016;1;1;6;1;1;158
31.12.2016;1;1;7;0;0;158
31.12.2016;1;1;8;0;0;158
31.12.2016;1;1;9;0;0;158
31.12.2016;1;1;10;0;0;158
31.12.2016;1;1;11;1;4;158
31.12.2016;1;1;12;1;13;158
31.12.2016;1;1;13;0;0;158
31.12.2016;1;1;14;0;0;158
31.12.2016;1;1;15;1;27;158
31.12.2016;1;1;16;1;1;158
31.12.2016;1;1;18;1;2;158
31.12.2016;1;1;19;1;1;158
31.12.2016;1;1;20;0;0;158
31.12.2016;1;1;21;1;2;158
31.12.2016;1;1;22;0;0;158
31.12.2016;1;1;23;0;0;158
31.12.2016;1;1;24;0;0;158
31.12.2016;1;1;25;0;0;158
31.12.2016;1;1;26;0;0;158
31.12.2016;1;1;27;1;1;158
31.12.2016;1;1;28;0;0;158
31.12.2016;1;1;29;1;1;158
31.12.2016;1;1;30;1;8;158
31.12.2016;1;1;31;1;3;158
31.12.2016;1;1;32;1;134;158
31.12.2016;1;1;33;1;1;158
31.12.2016;1;1;34;0;0;158
31.12.2016;1;1;35;1;9;158
31.12.2016;1;1;36;1;2;158
31.12.2016;1;1;37;0;0;158
31.12.2016;1;1;38;0;0;158
31.12.2016;1;1;39;0;0;158
31.12.2016;1;1;40;0;0;158
31.12.2016;1;1;41;1;1;158
31.12.2016;1;1;42;0;0;158
31.12.2016;1;1;48;0;0;158
31.12.2016;1;1;49;1;3;158
31.12.2016;1;1;50;1;3;158
31.12.2016;1;1;51;0;0;158
31.12.2016;1;1;52;0;0;158
31.12.2016;1;1;53;0;0;158
31.12.2016;1;1;54;0;0;158
31.12.2016;1;1;55;1;2;158
31.12.2016;1;1;56;0;0;158
31.12.2016;1;1;57;0;0;158
31.12.2016;1;1;58;0;0;158
31.12.2016;1;1;59;0;0;158
31.12.2016;1;1;60;0;0;158
31.12.2016;1;1;61;0;0;158
31.12.2016;1;1;62;1;15;158
31.12.2016;1;1;63;1;1;158
31.12.2016;1;1;64;1;1;158
31.12.2016;1;1;65;0;0;158
31.12.2016;1;1;66;0;0;158
31.12.2016;1;1;67;1;3;158
31.12.2016;1;1;68;0;0;158
31.12.2016;1;1;69;1;7;158
31.12.2016;1;1;70;1;2;158
31.12.2016;1;1;71;1;2;158
31.12.2016;1;1;72;0;0;158
31.12.2016;1;1;73;0;0;158
31.12.2016;1;1;74;1;1;158
31.12.2016;1;1;75;1;1;158
31.12.2016;1;1;76;0;0;158
31.12.2016;1;1;77;1;6;158
31.12.2016;1;1;78;0;0;158
31.12.2016;1;1;79;0;0;158
31.12.2016;1;1;80;0;0;158
31.12.2016;1;1;81;0;0;158
31.12.2016;1;1;82;0;0;158
31.12.2016;1;1;90;1;8;158
31.12.2016;1;1;91;1;20;158
31.12.2016;1;1;92;1;7;158
31.12.2016;1;1;93;1;9;158
31.12.2016;1;1;94;0;0;158
31.12.2016;1;1;95;0;0;158
31.12.2016;1;1;96;1;144;158
31.12.2016;1;1;97;0;0;158
31.12.2016;1;1;98;0;0;158
31.12.2016;1;1;99;1;6;158
31.12.2016;1;1;100;1;2;158
31.12.2016;1;1;101;1;3;158
31.12.2016;1;1;102;0;0;158
31.12.2016;1;1;103;1;3;158
31.12.2016;1;1;104;0;0;158
31.12.2016;1;1;105;0;0;158
31.12.2016;1;1;106;0;0;158
31.12.2016;1;1;107;0;0;158
31.12.2016;1;1;108;0;0;158
31.12.2016;1;1;109;0;0;158
31.12.2016;1;1;110;0;0;158
31.12.2016;1;1;111;1;1;158
31.12.2016;1;1;112;1;10;158
31.12.2016;1;1;113;0;0;158
31.12.2016;1;1;114;1;7;158
31.12.2016;1;1;115;0;0;158
31.12.2016;1;1;116;1;7;158
31.12.2016;1;1;117;0;0;158
31.12.2016;1;1;118;0;0;158
31.12.2016;1;1;119;1;3;158
31.12.2016;1;1;120;1;2;158
31.12.2016;1;1;121;1;3;158
31.12.2016;1;1;122;0;0;158
31.12.2016;1;1;123;1;1;158
31.12.2016;1;1;124;1;1;158
31.12.2016;1;1;125;1;2;158
31.12.2016;1;1;126;1;1;158
31.12.2016;1;1;127;1;1;158
31.12.2016;1;1;128;1;1;158
31.12.2016;1;1;129;1;71;158
31.12.2016;1;1;130;0;0;158
31.12.2016;1;1;131;1;1;158
31.12.2016;1;1;132;0;0;158
31.12.2016;1;1;133;0;0;158
31.12.2016;1;1;134;0;0;158
31.12.2016;1;1;135;0;0;158
31.12.2016;1;1;136;0;0;158
31.12.2016;1;1;137;1;1;158
31.12.2016;1;1;138;0;0;158
31.12.2016;1;1;139;0;0;158
31.12.2016;1;1;140;1;1;158
31.12.2016;1;1;141;0;0;158
31.12.2016;1;1;142;0;0;158
31.12.2016;1;1;143;0;0;158
31.12.2016;1;1;144;0;0;158
31.12.2016;1;1;145;1;3;158
31.12.2016;1;1;146;1;2;158
31.12.2016;1;1;147;1;2;158
31.12.2016;1;1;148;0;0;158
31.12.2016;1;1;149;0;0;158
31.12.2016;1;1;150;0;0;158
31.12.2016;1;1;151;0;0;158
31.12.2016;1;1;152;1;33;158
